[2026-04-04T18:03:50+08:00] Watcher started for v4.1 -> v4.2 handoff.
[2026-04-04T18:03:50+08:00] Tracking v4.1 run_pid=3537011 train_pid=3537021.
[2026-04-04T18:03:50+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:04:43+08:00] Watcher started for v4.1 -> v4.2 handoff.
[2026-04-04T18:04:43+08:00] Tracking v4.1 run_pid=3537011 train_pid=3537021.
[2026-04-04T18:04:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:05:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:06:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:07:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:08:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:09:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:10:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:11:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:12:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:13:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:14:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:15:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:16:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:17:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:18:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:19:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:20:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:21:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:22:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:23:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:24:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:25:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:26:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:27:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:28:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:29:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:30:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:31:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:32:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:33:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:34:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:35:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:36:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:37:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:38:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:39:43+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:40:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:41:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:42:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:43:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:44:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:45:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:46:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:47:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:48:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:49:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:50:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:51:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:52:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:53:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:54:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:55:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:56:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:57:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:58:44+08:00] v4.1 still running; sleeping 60s.
[2026-04-04T18:59:44+08:00] v4.1 still running; sleeping 60s.
