[2026-04-13T15:58:17+0800] Watcher started. deadline=disabled. DRY_RUN=0. TRAIN_GPU=<cpu-only>
[2026-04-13T15:58:17+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T15:58:17+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T15:59:18+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:00:18+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:01:18+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:02:19+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:03:19+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:04:19+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:05:20+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:06:20+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:07:20+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:08:20+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:09:21+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:10:21+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:11:21+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:12:22+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:13:22+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:14:22+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:15:22+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:16:23+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:17:23+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:18:23+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:19:24+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:20:24+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:21:24+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:22:25+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:23:25+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:24:25+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:25:26+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:26:26+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:27:26+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:28:27+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:29:27+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:30:27+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:31:27+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:32:28+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
[2026-04-13T16:33:28+0800] monitor train_pid=1373660(alive) runner_pid=891374(alive) suite_status=running deadline=disabled
