sample_id,phase,worker,train_index,target_type_inferred,target_digest_recorded,entered_recovery,not_enter_reason_inferred,recovery_subgraph_size,num_recovery_sources_recorded,num_branches_generated,num_branches_strict_improve_checkpoint_inferred,num_branches_strict_improve_anchor_inferred,stop_reason_inferred,selection_reason,selection_decision,selected_is_repair_branch,selected_visible_tests,anchor_visible_tests,recording_note
mbpp:398,phase2,0,0,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:864,phase2,0,1,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:159,phase2,0,2,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:949,phase2,0,3,anchor_or_checkpoint,,True,,5.0,,3,0,,final_guard_rejected,v4_4_code_anchor_guard_preserve,use_stage1_anchor,False,0/3,0/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:297,phase2,0,4,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:660,phase2,0,5,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:109,phase2,0,6,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:859,phase2,0,7,anchor_or_checkpoint,,True,,3.0,,6,0,,final_guard_rejected,v4_4_code_anchor_guard_preserve,use_stage1_anchor,False,0/3,0/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:61,phase2,0,8,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:326,phase2,0,9,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:795,phase2,0,10,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:331,phase2,0,11,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:574,phase2,0,12,anchor_or_checkpoint,,True,,7.0,,3,0,,final_guard_rejected,v4_4_code_anchor_guard_preserve,use_stage1_anchor,False,0/3,0/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:197,phase2,0,13,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:142,phase2,0,14,anchor_or_checkpoint,,True,,5.0,,3,0,,final_guard_rejected,v4_4_code_anchor_guard_preserve,use_stage1_anchor,False,0/3,0/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:770,phase2,0,15,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:36,phase2,0,16,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:590,phase2,0,17,anchor_or_checkpoint,,True,,7.0,,3,0,,final_guard_rejected,v4_4_code_anchor_guard_preserve,use_stage1_anchor,False,0/3,0/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:341,phase2,0,18,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:581,phase2,0,19,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:680,phase2,0,20,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:455,phase2,0,21,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
mbpp:939,phase2,0,22,,,False,bypass_stable_anchor,0.0,,0,0,,,v4_4_code_bypass_stable_anchor,use_stage1_anchor,False,3/3,3/3,"target digest/source, stop reason and source count are not explicitly persisted in current checkpoint; *_inferred columns are heuristic."
