sample_id,phase,worker,train_index,active_edge_ratio_by_turn,active_node_ratio_by_turn,candidate_provenance_coverage,recovery_subgraph_size,final_answer_source_type
mbpp:105,phase2,0,46,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.75,0.0,stage1
mbpp:105,phase3a,0,46,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:106,phase2,1,39,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 0.7142857142857143, 0.7142857142857143, 1.0]",1.0,0.0,checker_approved_proposal
mbpp:106,phase3a,1,39,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:109,phase2,0,6,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:109,phase3a,0,6,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9090909090909091,0.0,stage1
mbpp:118,phase2,1,38,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:118,phase3a,1,38,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.8333333333333334, 1.0, 1.0, 1.0]",0.5,0.0,stage1
mbpp:126,phase2,1,60,"[1.0, 0.7777777777777778, 0.7777777777777778, 0.5555555555555556, 0.4444444444444444]","[1.0, 1.0, 1.0, 0.8571428571428571, 1.0]",0.9411764705882353,0.0,stage1
mbpp:126,phase3a,1,60,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.75, 0.75, 0.75, 0.75, 0.75]",0.9444444444444444,0.0,stage1
mbpp:130,phase2,1,54,"[0.875, 0.75, 0.75, 0.625, 0.625]","[1.0, 1.0, 1.0, 1.0, 0.875]",0.9166666666666666,0.0,stage1
mbpp:130,phase3a,1,54,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9473684210526315,0.0,stage1
mbpp:134,phase2,2,22,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,7.0,stage1_anchor
mbpp:134,phase3a,2,22,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,7.0,stage1_anchor
mbpp:135,phase2,2,15,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:135,phase3a,2,15,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:138,phase2,1,22,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,7.0,stage1_anchor
mbpp:138,phase3a,1,22,"[0.75, 0.625, 0.625, 0.5, 0.5]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.8333333333333334,0.0,stage1
mbpp:140,phase2,2,26,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,5.0,stage1_anchor
mbpp:140,phase3a,2,26,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:142,phase2,0,14,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.875, 0.875, 0.875, 0.875, 0.875]",1.0,5.0,stage1_anchor
mbpp:142,phase3a,0,14,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]",1.0,4.0,stage1_anchor
mbpp:146,phase2,2,46,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9285714285714286,0.0,stage1
mbpp:146,phase3a,2,46,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:149,phase2,1,19,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9090909090909091,0.0,stage1
mbpp:149,phase3a,1,19,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:150,phase2,2,28,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,6.0,stage1_anchor
mbpp:150,phase3a,2,28,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,7.0,stage1_anchor
mbpp:152,phase2,2,58,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.8888888888888888,0.0,stage1
mbpp:152,phase3a,2,58,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571]",0.9230769230769231,0.0,stage1
mbpp:159,phase2,0,2,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:159,phase3a,0,2,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9230769230769231,0.0,stage1
mbpp:160,phase2,0,42,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:160,phase3a,0,42,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,6.0,stage1_anchor
mbpp:167,phase2,1,11,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9090909090909091,0.0,stage1
mbpp:167,phase3a,1,11,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.875, 0.875, 0.875, 0.875, 0.875]",0.9375,0.0,stage1
mbpp:17,phase2,2,24,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.875, 0.875, 0.875, 0.875, 0.875]",1.0,0.0,sink_output
mbpp:17,phase3a,2,24,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,checker_approved_proposal
mbpp:174,phase2,1,5,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 1.0, 1.0, 0.8333333333333334]",1.0,0.0,sink_output
mbpp:174,phase3a,1,5,"[0.75, 0.625, 0.625, 0.5, 0.5]","[1.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",0.8333333333333334,0.0,stage1
mbpp:184,phase2,2,31,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]",1.0,0.0,sink_output
mbpp:184,phase3a,2,31,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]",0.9,0.0,stage1
mbpp:185,phase2,1,55,"[1.0, 1.0, 1.0, 0.8333333333333334, 0.8333333333333334]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9166666666666666,0.0,stage1
mbpp:185,phase3a,1,55,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:188,phase2,0,41,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]",0.9375,0.0,stage1
mbpp:188,phase3a,0,41,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:193,phase2,2,14,"[0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.6666666666666666]","[1.0, 1.0, 1.0, 0.7142857142857143, 0.7142857142857143]",0.9166666666666666,0.0,stage1
mbpp:193,phase3a,2,14,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.8461538461538461,0.0,stage1
mbpp:194,phase2,0,44,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.625, 0.625, 0.625, 0.625, 0.625]",1.0,0.0,sink_output
mbpp:194,phase3a,0,44,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",1.0,0.0,checker_approved_proposal
mbpp:197,phase2,0,13,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9166666666666666,0.0,sink_output
mbpp:197,phase3a,0,13,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 0.8333333333333334]",0.875,0.0,checker_approved_proposal
mbpp:210,phase2,0,25,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,checker_approved_proposal
mbpp:210,phase3a,0,25,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:213,phase2,2,9,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9230769230769231,0.0,stage1
